Layer,dx,dy,Average Error,Standard Deviation Error,Similarity
0.2,0.0694791243233368,0.16635022538385158,0.1685092938395006,0.06627076124057589,0.9795804779334452
0.4,0.5281490351337794,0.06648173871002427,0.10148095352378027,0.046352104310689486,0.9881106500255706
0.6,0.591077890600701,0.4529598068394023,0.12629683123461613,0.05995913508324358,0.9871743612214767
0.8,0.9184182822395996,0.1085088241172798,0.11982353089041714,0.05405823326013003,0.9880449493402415
1.0,0.7696662469421938,0.3077010665628279,0.1119775306084676,0.052137796511310446,0.9840620881105904
0.2,0.0694791243233368,0.16635022538385158,0.1685092938395006,0.06627076124057589,0.9795804779334452
0.2,0.0694791243233368,0.16635022538385158,0.1685092938395006,0.06627076124057589,0.9795804779334452
0.4,0.5281490351337794,0.06648173871002427,0.10148095352378027,0.046352104310689486,0.9881106500255706
0.6,0.591077890600701,0.4529598068394023,0.12629683123461613,0.05995913508324358,0.9871743612214767
0.8,0.9184182822395996,0.1085088241172798,0.11982353089041714,0.05405823326013003,0.9880449493402415
1.0,0.7696662469421938,0.3077010665628279,0.1119775306084676,0.052137796511310446,0.9840620881105904
